O*NET-SOC Code,Title,cluster,Job Zone,cluster_name
11-3013.00,Facilities Managers,2,3,Skilled Trades
11-9021.00,Construction Managers,0,4,Management/Engineering
11-9041.00,Architectural and Engineering Managers,0,5,Management/Engineering
17-2051.00,Civil Engineers,0,4,Management/Engineering
17-2051.01,Transportation Engineers,0,4,Management/Engineering
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,2,3,Skilled Trades
47-2031.00,Carpenters,2,2,Skilled Trades
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",1,2,Entry Level/Operators
47-2072.00,Pile Driver Operators,1,2,Entry Level/Operators
47-2073.00,Operating Engineers and Other Construction Equipment Operators,1,2,Entry Level/Operators
47-2081.00,Drywall and Ceiling Tile Installers,1,2,Entry Level/Operators
47-2111.00,Electricians,2,3,Skilled Trades
47-2132.00,"Insulation Workers, Mechanical",1,2,Entry Level/Operators
47-2151.00,Pipelayers,1,2,Entry Level/Operators
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",2,3,Skilled Trades
47-2171.00,Reinforcing Iron and Rebar Workers,1,2,Entry Level/Operators
47-2221.00,Structural Iron and Steel Workers,1,2,Entry Level/Operators
47-4021.00,Elevator and Escalator Installers and Repairers,2,3,Skilled Trades
47-4051.00,Highway Maintenance Workers,1,2,Entry Level/Operators
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,1,2,Entry Level/Operators
